,Country,Time,Happiness Score,"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Population growth (annual %),Rural population (% of total population),GDP (current US$),GDP per capita (current US$),Population aged 14 years or younger ,Population aged 15-24 years ,Population aged 25-64 years ,Population aged 65 years or older ,"Prevalence of HIV, total (% of population ages 15-49)",Poverty headcount ratio at $1.90 a day (PPP) (% of population),Total population 
0,Australia,2018,7.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4778.109,3118.438,13103.431999999999,3898.173,0.0,0.0,24898.152000000002
1,Australia,2019,7.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4858.029,3110.171,13222.346000000001,4012.652,0.0,0.0,25203.197999999997
2,Austria,2018,7.138999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.286,982.725,4947.874,1689.503,0.0,0.0,8891.388
3,Austria,2019,7.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.119,971.829,4988.914000000001,1708.24,0.0,0.0,8955.101999999999
4,Belgium,2018,6.9270000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1958.3339999999998,1305.866,6060.621,2157.357,0.0,0.0,11482.178
5,Belgium,2019,6.922999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968.402,1300.507,6077.189,2193.23,0.0,0.0,11539.328000000001
6,Canada,2018,7.327999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5883.826,4487.331,20314.714,6388.691,0.0,0.0,37074.562000000005
7,Canada,2019,7.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5928.116999999999,4413.442,20467.225,6602.263000000001,0.0,0.0,37411.047
8,Denmark,2018,7.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.7,730.826,2934.934,1139.6660000000002,0.0,0.0,5752.126
9,Denmark,2019,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.643,720.7439999999999,2952.119,1152.37,0.0,0.0,5771.876
10,Finland,2018,7.632000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.63,624.2130000000001,2807.1859999999997,1199.547,0.0,0.0,5522.576
11,Finland,2019,7.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.049,615.507,2805.745,1224.855,0.0,0.0,5532.156
12,France,2018,6.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,France,2019,6.5920000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Germany,2018,6.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11322.402,8701.671999999999,45260.212999999996,17840.131,0.0,0.0,83124.418
15,Germany,2019,6.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11524.925,8701.639000000001,45281.707,18008.773999999998,0.0,0.0,83517.045
16,Greece,2018,5.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.611,1061.0739999999998,5701.94,2278.621,0.0,0.0,10522.246000000001
17,Greece,2019,5.287000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1455.454,1057.195,5662.776,2298.03,0.0,0.0,10473.455
18,Hungary,2018,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.0439999999999,1052.326,5396.393,1859.736,0.0,0.0,9707.499
19,Hungary,2019,5.757999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.8110000000001,1024.492,5355.031,1907.345,0.0,0.0,9684.679
20,Iceland,2018,7.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.778,44.827,175.291,49.817,0.0,0.0,336.713
21,Iceland,2019,7.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.61,44.13399999999999,176.78099999999998,51.506,0.0,0.0,339.031
22,Ireland,2018,6.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Ireland,2019,7.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Italy,2018,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8081.081999999999,5837.210999999999,32915.271,13793.726999999999,0.0,0.0,60627.291
25,Italy,2019,6.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7972.420999999999,5826.8640000000005,32816.924,13933.866000000002,0.0,0.0,60550.075
26,Japan,2018,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Japan,2019,5.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Luxembourg,2018,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.947,74.33,348.267,85.70100000000001,0.0,0.0,604.245
29,Luxembourg,2019,7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.714,74.598,356.522,87.895,0.0,0.0,615.729
30,Mexico,2018,6.4879999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33512.296,22125.529,61437.337999999996,9115.625,0.0,0.0,126190.788
31,Mexico,2019,6.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33405.803,22140.036,62567.846,9461.844000000001,0.0,0.0,127575.52900000001
32,Netherlands,2018,7.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2747.9809999999998,2054.185,8982.608,3274.7859999999996,0.0,0.0,17059.56
33,Netherlands,2019,7.4879999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2715.6220000000003,2046.8770000000002,8982.684000000001,3351.947,0.0,0.0,17097.13
34,New Zealand,2018,7.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.188,640.138,2428.39,742.415,0.0,0.0,4743.130999999999
35,New Zealand,2019,7.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.883,632.703,2449.476,765.0010000000001,0.0,0.0,4783.063
36,Norway,2018,7.593999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.7610000000001,677.5239999999999,2813.5959999999995,910.081,0.0,0.0,5337.9619999999995
37,Norway,2019,7.553999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.6189999999999,676.275,2836.8909999999996,929.072,0.0,0.0,5378.857
38,Poland,2018,6.122999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5708.063,3948.907,21621.587000000003,6643.035,0.0,0.0,37921.592000000004
39,Poland,2019,6.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5753.404,3804.405,21465.871,6864.088000000001,0.0,0.0,37887.768
40,Portugal,2018,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.269,1075.3339999999998,5548.96,2251.63,0.0,0.0,10256.193000000001
41,Portugal,2019,5.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.183,1070.87,5513.897,2286.237,0.0,0.0,10226.187
42,Slovakia,2018,6.172999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842.28,585.423,3173.046,852.265,0.0,0.0,5453.014
43,Slovakia,2019,6.1979999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.3510000000001,567.1469999999999,3159.987,882.528,0.0,0.0,5457.013000000001
44,Afghanistan,2018,3.6319999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16017.446000000002,8071.331,12122.277,960.867,0.0,0.0,37171.921
45,Afghanistan,2019,3.2030000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16157.197,8313.808,12575.655,995.0939999999999,0.0,0.0,38041.754
46,Albania,2018,4.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.463,458.05199999999996,1519.0,396.225,0.0,0.0,2882.74
47,Albania,2019,4.718999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.267,443.473,1527.011,409.166,0.0,0.0,2880.917
48,Algeria,2018,5.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12731.306999999999,6070.28,20740.04,2686.781,0.0,0.0,42228.407999999996
49,Algeria,2019,5.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13152.871000000001,5952.319,21126.693,2821.171,0.0,0.0,43053.054000000004
50,Angola,2018,3.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14421.73,5958.111,9747.086,682.86,0.0,0.0,30809.787
51,Argentina,2018,6.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10984.235,7017.366,21427.57,4931.979,0.0,0.0,44361.15
52,Argentina,2019,6.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11014.043,7014.397,21717.497000000003,5034.74,0.0,0.0,44780.677
53,Armenia,2018,4.321000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0459999999999,366.881,1643.634,332.184,0.0,0.0,2951.745
54,Armenia,2019,4.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.201,354.79900000000004,1649.075,339.656,0.0,0.0,2957.7309999999998
55,Azerbaijan,2018,5.2010000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Azerbaijan,2019,5.207999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Bahrain,2018,6.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.186,192.477,1036.703,38.08,0.0,0.0,1569.4460000000001
58,Bahrain,2019,6.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.20599999999996,188.267,1104.361,41.338,0.0,0.0,1641.172
59,Bangladesh,2018,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44711.067,30778.433999999997,77562.766,8324.440999999999,0.0,0.0,161376.708
60,Bangladesh,2019,4.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44371.977999999996,30833.772,79394.047,8446.364,0.0,0.0,163046.161
61,Belize,2018,5.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.993,77.866,171.06799999999998,18.144000000000002,0.0,0.0,383.07099999999997
62,Benin,2018,4.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4875.135,2279.107,3957.1240000000003,373.67800000000005,0.0,0.0,11485.044
63,Benin,2019,4.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4980.737,2342.259,4092.861,385.29400000000004,0.0,0.0,11801.151000000002
64,Bhutan,2018,5.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.416,148.47799999999998,366.208,45.286,0.0,0.0,754.388
65,Bhutan,2019,5.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.36900000000003,146.238,376.99,46.495,0.0,0.0,763.092
66,Bosnia and Herzegovina,2018,5.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.81800000000004,402.746,1882.9,547.461,0.0,0.0,3323.925
67,Bosnia and Herzegovina,2019,5.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.041,391.404,1856.745,567.81,0.0,0.0,3301.0
68,Botswana,2018,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.929,414.667,975.263,95.209,0.0,0.0,2254.0679999999998
69,Botswana,2019,3.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.8430000000001,421.777,1003.5,100.57700000000001,0.0,0.0,2303.697
70,Brazil,2018,6.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Brazil,2019,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Bulgaria,2018,4.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.215,629.002,3911.008,1482.3829999999998,0.0,0.0,7051.608
73,Bulgaria,2019,5.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.994,617.8580000000001,3866.534,1487.733,0.0,0.0,7000.119000000001
74,Burkina Faso,2018,4.4239999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8877.905,3960.2540000000004,6437.893,475.414,0.0,0.0,19751.466
75,Burkina Faso,2019,4.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9079.149,4089.82,6663.215,489.194,0.0,0.0,20321.378
76,Burundi,2018,2.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5084.983,2156.685,3682.6020000000003,251.104,0.0,0.0,11175.374
