,Country,Year,fertilityRate,lifeExpectancy,mortalityRate,popGrowth,ruralPopPct,gdpGrowthPct,gdpUS,gdpPerCapitaUS,gdpPerCapita ppp,gdp pppInternational,gni,gniPerCapita,gniPerCapita ppp,pop14under,pop15to24,pop25to64,pop65over,hivPct,povertyRatio,totalPop,Happiness Score
196,Peru,2015,2.4290000000000003,74.747,12.6,1.29374,22.643,3.25137,189926516769.25,6053.11241,12570.20625,394411225967.9461,584106000000.0,6160.0,12140.0,8556.7,5446.2959999999985,14235.573,2232.165,0.3,3.6,30470.734,5.824
197,Peru,2016,2.4,74.983,12.1,1.25786,22.461,3.95131,191639655121.33,6031.36609,13044.6645,414479069713.272,619946000000.0,5950.0,12500.0,8380.964,5436.726,14771.034,2337.308,0.3,3.5,30926.032000000007,5.7429999999999986
198,Peru,2017,2.37,75.22,11.6,1.22507,22.28,2.52823,211389272242.15695,6571.92864,13462.73931,433035539200.318,660656365300.0,5960.0,12900.0,8289.502,5381.714,15317.03,2456.052,0.3,3.4,31444.298,5.71500015258789
199,Mongolia,2015,2.793,69.087,16.1,1.79578,31.77,2.37984,11749620619.5962,3946.9620700000014,12187.76943,36281490489.0344,21251431655900.0,3850.0,11190.0,865.4060000000002,503.781,1513.382,115.87,0.1,0.0,2998.4390000000008,4.874
200,Mongolia,2016,2.757,69.28699999999999,15.4,1.68287,31.703000000000007,1.16839,11186734674.3847,3695.16485,12256.98988,37106786648.8706,21971134885900.0,3530.0,11250.0,899.591,486.604,1550.3339999999996,119.835,0.1,0.6,3056.364,4.907
201,Mongolia,2017,2.713,69.465,14.8,1.58118,31.637,5.30167,11433635875.9316,3717.47339,12945.82089,39816775188.6283,23970598596500.0,3270.0,11120.0,932.572,471.673,1585.182,124.359,0.1,0.0,3113.786,4.95499992370605
202,Kenya,2015,3.917,66.695,35.1,2.59934,74.342,5.71849,64007751187.8874,1355.05547,3028.68921,143063947880.356,6217024000000.0,1310.0,3000.0,19842.336,9707.246,17322.811,1005.943,5.1,36.8,47878.336,4.419
203,Kenya,2016,3.852,67.032,34.3,2.56093,73.895,5.8692,70875223143.0362,1462.50374,3159.55375,153116925742.207,7124731000000.0,1380.0,3130.0,20063.034,9988.83,17932.137,1067.533,5.0,0.0,49051.53400000001,4.356
204,Kenya,2017,3.793,67.291,33.6,2.52311,73.438,4.87394,79263075749.2682,1594.83493,3292.40363,163632006194.219,8111836000000.0,1460.0,3260.0,20264.237,10291.614,18532.249,1133.042,4.8,0.0,50221.142,4.55299997329712
205,Slovakia,2015,1.4,76.56341,5.0,0.09503,46.111,4.1748699999999985,87769595120.4718,16182.303719999998,29691.52303,161040912300.551,77150204000.0,17510.0,28950.0,829.355,654.05,3188.6620000000007,763.544,0.1,0.7,5435.611,5.995
206,Slovakia,2016,1.48,77.16585,4.8,0.12892,46.194,3.12541,89848359304.5293,16544.22781,30895.98943,167789877585.758,79704463000.0,16950.0,30320.0,830.5060000000002,630.632,3189.156,791.709,0.1,0.0,5442.0030000000015,6.0779999999999985
207,Slovakia,2017,1.48,77.16585,4.6,0.15517999999999998,46.249,3.18834,95617670260.1144,17579.2594,32371.22295,176074591774.693,83163701000.0,16650.0,31730.0,835.584,607.265,3183.452,821.5989999999998,0.1,0.0,5447.9,6.09800004959106
208,Lebanon,2015,1.72,79.40899999999998,7.2,4.33425,11.894,0.24333,49910270062.1559,8529.513659999999,14176.46205,82953269991.047,74473153293700.0,8110.0,14030.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4.839
209,Lebanon,2016,1.719,79.584,6.9,2.61757,11.734000000000002,1.7407400000000002,51483909754.8922,8571.12625,14204.24506,85320184248.5769,76379175530500.0,8120.0,13980.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,5.129
210,Lebanon,2017,1.713,79.758,6.7,1.25221,11.571,1.5291,53576985686.6998,8808.58945,14512.688869999998,88271354736.2034,80010299722700.0,8400.0,14380.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,5.22499990463257
211,Mali,2015,6.145,57.478,69.2,2.93398,60.00899999999999,5.96258,13099495529.7113,749.91795,2049.70488,35804050204.2923,7572845953000.0,790.0,2000.0,8361.556,3334.486,5301.366999999998,441.369,1.3,0.0,17438.778000000002,3.995
212,Mali,2016,6.057,57.966,67.4,2.97197,59.217,5.8,14010787737.8424,778.60043,2128.10612,38294922830.2485,8086439442000.0,770.0,2070.0,8597.276,3450.368,5464.728,453.071,1.3,0.0,17965.443,4.073
213,Mali,2017,5.968,58.456,65.8,2.99525,58.428,5.4,15334336143.644,827.0064,2218.21269,41130055292.8563,8709520994000.0,770.0,2160.0,8834.653,3576.514,5635.691,465.572,1.2,0.0,18512.43,4.19000005722046
214,Norway,2015,1.72,82.30488000000003,2.2,0.99508,18.909,1.97005,386663139402.70703,74521.56993,60519.97152000001,314014347847.279,3247407000000.0,93080.0,63030.0,934.011,674.8389999999998,2743.255,847.7310000000001,0.1,0.2,5199.835999999998,7.522
215,Norway,2016,1.71,82.40732,2.1,0.88097,18.515,1.18735,371344761904.762,70941.52527,58138.43771000001,304326756798.287,3251144000000.0,81620.0,60600.0,934.764,677.638,2767.193,871.3539999999998,0.1,0.0,5250.949000000001,7.497999999999998
216,Norway,2017,1.71,82.50976,2.1,0.80767,18.129,1.98044,399488897844.046,75704.2487,62182.84214,328136868121.3,3441558000000.0,76160.0,64760.0,935.866,678.332,2790.493,891.635,0.1,0.0,5296.326,7.537000179290769
217,Pakistan,2015,3.55,66.322,64.6,2.04541,63.974,4.73115,270556126820.064,1428.6376300000004,5014.93145,949730291514.322,29117833000000.0,1430.0,5320.0,71667.4,40596.642,78567.663,8595.259,0.1,3.9,199426.964,5.194
