,Country,Time,Happiness Score,"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Population growth (annual %),Rural population (% of total population),GDP (current US$),GDP per capita (current US$),Population aged 14 years or younger ,Population aged 15-24 years ,Population aged 25-64 years ,Population aged 65 years or older ,"Prevalence of HIV, total (% of population ages 15-49)",Poverty headcount ratio at $1.90 a day (PPP) (% of population),Total population 
354,Philippines,2016,5.279,2.925,69.094,22.7,1.5645,53.525,304889079564.14197,2950.9139,33091.184,20042.482,45592.685999999994,4937.464,0.1,0.0,103663.81599999999
355,Philippines,2017,5.42999982833862,2.8939999999999997,69.238,22.2,1.5346799999999998,53.318000000000005,313595208736.66,2988.9527,33095.825,20199.959,46684.652,5192.4890000000005,0.1,0.0,105172.925
356,Turkey,2015,5.332000000000001,2.072,75.498,11.6,1.59801,26.389,859796691176.471,10984.80288,20103.363,13007.676000000001,39238.997,6179.3730000000005,0.0,0.3,78529.409
357,Turkey,2016,5.388999999999999,2.053,75.755,10.8,1.57301,25.866,863721731068.5079,10862.726429999999,20215.824,13141.716,40044.181000000004,6426.15,0.0,0.2,79827.871
358,Turkey,2017,5.5,2.0340000000000003,76.009,10.0,1.5383,25.355999999999998,851549299635.427,10546.152559999999,20281.349,13287.836000000001,40850.525,6696.74,0.0,0.0,81116.45
359,Sweden,2015,7.364,1.85,82.20488,2.4,1.05745,13.447000000000001,498117638852.89703,50832.55271,1688.78,1203.549,4957.859,1914.7620000000002,0.0,0.5,9764.95
360,Sweden,2016,7.291,1.85,82.30731999999999,2.4,1.25645,13.148,512205240408.433,51617.54035,1710.318,1176.233,4997.973,1951.483,0.0,0.0,9836.007
361,Sweden,2017,7.28399991989136,1.85,82.30731999999999,2.3,1.34745,12.854000000000001,535607385506.432,53253.47664,1732.878,1145.599,5046.29,1980.129,0.0,0.0,9904.896
362,United Arab Emirates,2015,6.901,1.765,77.101,7.5,0.91561,14.325999999999999,358135057862.492,39122.04971,1311.987,988.052,6876.404,86.45700000000001,0.0,0.0,9262.9
363,United Arab Emirates,2016,6.5729999999999995,1.7480000000000002,77.256,7.7,1.25176,14.035,357045064669.84296,38517.80039,1346.625,1065.667,6856.295999999999,92.39200000000001,0.0,0.0,9360.98
364,United Arab Emirates,2017,6.6479997634887695,1.7309999999999999,77.41199999999999,7.8,1.39836,13.752,382575085091.899,40698.84934,1376.0639999999999,1129.983,6882.994000000001,98.162,0.0,0.0,9487.203000000001
365,South Africa,2015,4.6419999999999995,2.485,61.981,31.8,1.36877,35.172,317536830640.61896,5742.9878,16223.292,10013.768,26363.687,2785.62,18.8,0.0,55386.367
366,South Africa,2016,4.459,2.458,62.773999999999994,30.0,1.3013700000000001,34.659,295746599722.06604,5279.73047,16420.142,9945.056999999999,26963.368,2879.079,18.9,0.0,56207.64599999999
367,South Africa,2017,4.8289999961853,2.43,63.403999999999996,28.8,1.24488,34.15,348871647959.64,6151.0779600000005,16618.492,9883.194,27532.629,2975.441,18.8,0.0,57009.755999999994
368,Switzerland,2015,7.587000000000001,1.54,82.89756,3.8,1.13834,26.281999999999996,679832291693.2571,82081.59712,1227.369,942.461,4633.747,1493.1979999999999,0.0,0.0,8296.775
369,Switzerland,2016,7.5089999999999995,1.54,83.60244,3.8,1.0920299999999998,26.261,670181065629.156,80037.50304,1242.9560000000001,937.6389999999999,4671.755,1527.567,0.0,0.0,8379.917
370,Switzerland,2017,7.49399995803833,1.54,83.60244,3.7,0.92145,26.239,678965423322.021,80342.84634,1257.589,931.523,4708.214,1558.4779999999998,0.0,0.0,8455.804
371,Tajikistan,2015,4.7860000000000005,3.404,70.87899999999999,31.3,2.19868,73.258,7854602391.65355,918.81191,3029.8790000000004,1691.5720000000001,3483.615,248.96200000000002,0.2,4.8,8454.028
372,Tajikistan,2016,4.996,3.36,71.051,30.3,2.15588,73.149,6952678127.03396,795.96075,3130.094,1679.285,3597.836,256.36400000000003,0.3,0.0,8663.579
373,Tajikistan,2017,5.04099988937378,3.313,71.214,29.4,2.11142,73.018,7146449583.026309,801.05087,3237.072,1666.5639999999999,3711.759,264.873,0.3,0.0,8880.268
374,Belarus,2015,5.813,1.724,73.62439,3.1,0.1593,22.819000000000003,56454734396.5842,5949.10631,1535.1860000000001,1060.622,5491.624,1351.991,0.4,0.0,9439.423
375,Belarus,2016,5.8020000000000005,1.733,73.82683,2.9,0.12550999999999998,22.339000000000002,47749057078.1996,5025.40506,1559.8670000000002,1011.268,5512.848000000001,1361.66,0.4,0.0,9445.643
376,Belarus,2017,5.5689997673034695,1.541,74.12926999999999,2.8,-0.03442,21.866,54456465472.6162,5733.30721,1578.934,965.9839999999999,5527.93,1377.3829999999998,0.4,0.0,9450.231
377,Tunisia,2015,4.739,2.2230000000000003,75.525,12.0,1.15761,31.944000000000003,43152528548.124,3827.7298299999998,2659.71,1737.191,5926.104,856.944,0.1,0.3,11179.948999999999
378,Tunisia,2016,5.045,2.201,75.73100000000001,11.6,1.14291,31.654,41808379888.2682,3666.35715,2712.768,1705.485,6000.654,885.038,0.1,0.0,11303.945
379,Tunisia,2017,4.80499982833862,2.175,75.943,11.2,1.12386,31.358,39952095560.8829,3464.41689,2756.789,1675.797,6080.198,920.659,0.1,0.0,11433.443000000001
380,Sri Lanka,2015,4.271,2.063,75.08800000000001,8.2,0.9007299999999999,81.744,80604080688.7961,3844.5140100000003,5179.475,3125.827,10639.062,1963.6629999999998,0.1,0.0,20908.027
381,Sri Lanka,2016,4.415,2.046,75.28399999999999,7.8,1.12406,81.689,81787420023.358,3857.35132,5170.108,3116.4390000000003,10681.178,2053.446,0.1,0.8,21021.171000000002
382,Sri Lanka,2017,4.44000005722046,2.032,75.485,7.5,1.13022,81.616,87357205923.1238,4073.7365200000004,5156.737,3113.565,10718.813999999998,2138.916,0.1,0.0,21128.032000000003
383,Qatar,2015,6.611000000000001,1.929,78.036,6.9,4.4126199999999995,1.055,161739835164.835,65177.22879,344.67400000000004,360.915,1834.5020000000002,25.619,0.1,0.0,2565.71
384,Qatar,2016,6.375,1.9069999999999998,78.184,6.7,3.4950699999999997,0.985,151732142857.143,59044.24729,358.311,378.68,1887.95,29.433000000000003,0.1,0.0,2654.3740000000003
385,Qatar,2017,6.375,1.886,78.331,6.5,2.6650400000000003,0.922,166928571428.57098,63249.42243,368.131,388.278,1934.747,33.571999999999996,0.1,0.0,2724.728
386,Senegal,2015,3.904,4.84,66.78399999999999,34.9,2.9191599999999998,54.138000000000005,17767620058.8554,1186.32751,6337.8009999999995,2884.953,4909.39,446.315,0.5,0.0,14578.458999999999
387,Senegal,2016,4.218999999999999,4.769,67.146,33.8,2.86061,53.70399999999999,18973894458.795,1231.1426,6503.816999999999,2954.7509999999997,5075.366,459.585,0.4,0.0,14993.518999999998
388,Senegal,2017,4.53499984741211,4.695,67.477,32.7,2.80839,53.26,21070225734.7861,1329.30423,6666.764,3028.717,5249.803000000001,474.07099999999997,0.4,0.0,15419.355
389,Trinidad and Tobago,2015,6.167999999999999,1.766,70.556,24.5,0.41251000000000004,46.681000000000004,24401734194.6814,17941.23794,283.365,185.535,768.95,132.47799999999998,1.2,0.0,1370.328
390,Trinidad and Tobago,2016,6.167999999999999,1.7519999999999998,70.673,23.8,0.35741999999999996,46.75,22295585700.3672,16334.21714,284.078,181.378,774.227,137.877,1.2,0.0,1377.56
391,Trinidad and Tobago,2017,6.1680002212524405,1.739,70.783,23.1,0.30453,46.795,22079017626.6686,16126.37095,284.265,178.32299999999998,778.0189999999999,143.452,1.1,0.0,1384.059
392,Thailand,2015,6.455,1.4980000000000002,75.10300000000001,9.0,0.35138,52.306000000000004,401399422442.96704,5846.39461,12350.896,9649.106,39429.375,7285.134,1.2,0.0,68714.511
393,Thailand,2016,6.474,1.482,75.303,8.5,0.29946999999999996,51.552,411755164832.674,5979.29355,12170.443000000001,9627.12,39582.723,7591.022,1.1,0.0,68971.308
394,Thailand,2017,6.4239997863769505,1.4669999999999999,75.498,8.2,0.25235,50.8,455302682985.757,6595.0041200000005,12010.546999999999,9556.673,39727.089,7915.501,1.1,0.0,69209.81
395,South Sudan,2016,3.832,4.855,56.81100000000001,62.5,2.89155,80.908,2904114903.22912,237.44412000000003,4579.380999999999,2192.7129999999997,3689.703,370.721,2.5,0.0,10832.518
396,South Sudan,2017,3.5910000801086404,4.774,57.288000000000004,62.5,2.78159,80.654,0.0,0.0,4588.721,2207.806,3741.55,372.686,2.4,0.0,10910.763
397,Spain,2015,6.329,1.33,82.83171,2.7,-0.07758999999999999,20.398,1199084183705.08,25817.386609999998,6957.069,4554.312,26457.708,8702.837,0.4,1.0,46671.926
398,Spain,2016,6.361000000000001,1.34,83.32927,2.6,0.08337,20.16,1237499479181.11,26622.29914,6885.713000000001,4524.519,26405.14,8818.768,0.4,0.0,46634.14
399,Spain,2017,6.40299987792969,1.34,83.32927,2.6,0.23551,19.92,1314314164402.2,28208.300410000003,6858.729,4497.126,26360.527000000002,8931.046,0.4,0.0,46647.428
400,Somalia,2016,5.44,6.267,56.293,82.1,2.90437,56.184,6761998533.93861,472.27269,6659.213000000001,2927.672,4197.4529999999995,401.298,0.1,0.0,14185.636
401,Somalia,2017,5.151000022888179,6.171,56.714,79.7,2.92188,55.608999999999995,7052000000.0,478.34417,6820.876,3033.5,4318.474,416.329,0.1,0.0,14589.178999999998
